Movie,Year,Plex Status,Source,IMDB ID,TMDB ID,Collections,Tags,Posters,,Matt,Gabe,Griffin,Dan,Andrew,Ice,Image
Face/Off,1997,Yes,,tt0119094,754,Action|Thriller,GoodBad,GoodBad,,,,,,,,
Fail Safe,1964,,,tt0058083,502,War,,,,,,,,,,
Failure to Launch,2006,,,tt0427229,6877,Comedy,,,,,,,,,,
Fair Play,2014,**Request,,tt2199448,282113,Sports,Czech,,,,,,,,,
Fallen Angel,1945,****Request,Youtube,tt0037691,26243,Mystery|Crime,Noir,,,,,,,,,
Fallguy,1962,,Youtube,tt0055974,120241,Crime|Politics,,,,,,,,,,
Falling Down,1993,*Request,,tt0106856,37094,Crime,,,,,,,,,,
Falling for Figaro,2020,,,tt7392014,508444,RomCom,,,,,,,,,,
Fame,1980,*Request,,tt0080716,3537,Music,,,,,,,,,,
Fanny and Alexander,1982,***Request,,tt0083922,5961,Mystery|Religion,Swedish,,,,,,,,,
Fantasia,1940,Yes,,tt0032455,756,2D Animation,,,,,,,,,,
Fantastic Beasts and Where to Find Them,2016,**Request,,tt3183660,259316,Fantasy,,,,,,,,,,
Fantastic Beasts: The Crimes of Grindelwald,2018,,,tt4123430,338952,Fantasy,,,,,,,,,,
Fantastic Beasts: The Secrets of Dumbledore,2022,*****Request,,tt4123432,338953,Fantasy,,,,,,,,,,
Fantastic Mr. Fox,2009,Yes,,tt0432283,10315,3D Animation|Crime,,3D Animation,,,,,,,,
Fantastic Planet,1973,Yes,,tt0070544,16306,2D Animation,,,,,,,,,,
Far from Heaven,2002,,,tt0297884,10712,Drama|Romance,,,,,,,,,,
Fargo,1996,Yes,,tt0116282,275,Crime,,,,,,,,,,
Fast & Furious,2009,Yes,,tt1013752,13804,Action,,,,,,,,,,
Fast & Furious 6,2013,Yes,,tt1905041,82992,Action,,,,,,,,,,
Fast 5,2011,Yes,,tt1596343,51497,Action,,,,,,,,,,
Fast Times at Ridgemont High,1982,Yes,,tt0083929,13342,Dramedy,,,,,,,,,,
Fatal Attraction,1987,*Request,,tt0093010,10998,Thriller,,,,,,,,,,
Father of the Bride,1991,Yes,,tt0101862,11846,RomCom,,,,,,,,,,
Fatima,2020,,,tt2197936,520318,Religion,,,,,,,,,,
Fear and Loathing in Las Vegas,1998,***Request,,tt0120669,1878,Adventure|Comedy,,,,,,,,,,
Fear in the Night,1947,,PBS,tt0039372,35401,Crime,,,,,,,,,,
Fear of a Black Hat,1993,*****Request,,tt0106880,20239,Music|Comedy,Mockumentary,,,,,,,,,
Female Jungle,1955,*Request,Youtube,tt0049204,46401,Crime,Noir,,,,,,,,,
Fences,2016,Yes,,tt2671706,393457,Drama,,,,,,,,,,
Ferdinand,2017,Yes,,tt3411444,364689,3D Animation,,,,,,,,,,
Ferris Bueller's Day Off,1986,Yes,,tt0091042,9377,Comedy,,Comedy|1980s,,,,,,,,
Fever Pitch,2005,Yes,,tt0332047,11431,RomCom,Boston,,,,,,,,,
Field of Dreams,1989,Yes,,tt0097351,2323,Sports,,Sports,,,,,,,,
Fifty Shades of Grey,2015,Yes,,tt2322441,216015,Romance,GoodBad,,,,,,,,,
Fight Club,1999,Yes,,tt0137523,550,Crime,,Crime,,,,,,,,
Filth,2013,**Request,,tt1450321,85889,Comedy|Crime,,,,,,,,,,
Final Destination,2000,**Request,,tt0195714,9532,Horror,,,,,,,,,,
Final Destination 2,2003,,,tt0309593,9358,Horror,,,,,,,,,,
Final Destination 3,2006,,,tt0414982,9286,Horror,,,,,,,,,,
Final Destination 4,2009,,,tt1144884,19912,Horror,,,,,,,,,,
Final Destination 5,2011,,,tt1622979,55779,Horror,,,,,,,,,,
Finch,2021,Yes,,tt3420504,522402,Apocalypse|SciFi,,,,,,,,,,
Finding Dory,2016,Yes,,tt2277860,127380,3D Animation,,,,,,,,,,
Finding Forrester,2000,Yes,,tt0181536,711,Drama,,,,,,,,,,
Finding Nemo,2003,Yes,,tt0266543,12,3D Animation|Adventure,,,,,,,,,,
Finding Neverland,2004,****Request,,tt0308644,866,Biopic|Family,,,,,,,,,,
Finger Man,1955,*Request,Youtube,tt0048072,46410,Crime,Noir,,,,,,,,,
Fire Island,2022,**Request,,tt15218000,846250,RomCom,LGBTQ,,,,,,,,,
Fires on the Plain,1959,**Request,,tt0053121,31427,War|Drama,Japanese,,,,,,,,,
Firestarter,2022,Yes,,tt1798632,532710,Horror,,,,,,,,,,
First Man,2018,Yes,,tt1213641,369972,Biopic|History,BATS,,,,,,,,,
First Reformed,2017,Yes,,tt6053438,458737,Drama|Thriller,,,,,,,,,,
First Spaceship On Venus,1960,***Request,Youtube,tt0053250,17938,SciFi,German,,,,,,,,,
First Strike,1996,,,tt0116704,9404,Action,,,,,,,,,,
First They Killed My Father,2017,Yes,,tt4882376,433247,War|History,,,,,,,,,,
Fitzcarraldo,1982,Yes,,tt0083946,9343,Drama|Adventure,German,,,,,,,,,
Five Nights at Freddy's,2023,Yes,,tt4589218,507089,Horror|Thriller,,,,,,,,,,
Flags of Our Fathers,2006,***Request,,tt0418689,3683,War,,,,,,,,,,
Flashdance,1983,**Request,,tt0085549,535,Music|Romance,,,,,,,,,,
Flatliners,1990,***Request,,tt0099582,1551,Horror|SciFi,,,,,,,,,,
Flee,2021,*****Request,,tt8430054,680813,2D Animation|Biopic,,,,,,,,,,
Flight To Nowhere,1946,*Request,Youtube,tt0038529,242052,Mystery,Noir,,,,,,,,,
Flirting with Disaster,1996,***Request,,tt0116324,2074,Comedy,,,,,,,,,,
Floating Weeds,1959,,,tt0053390,46918,Drama,Japanese,,,,,,,,,
Flubber,1997,Yes,,tt0119137,9574,Comedy|Family,,Family,,,,,,,,
Flushed Away,2006,,,tt0424095,11619,3D Animation,,,,,,,,,,
Flux Gourmet,2022,****Request,,tt15010292,848818,Dramedy|Horror,,,,,,,,,,
Following,1998,**Request,,tt0154506,11660,Crime|Mystery,,,,,,,,,,
Fool's Paradise,2023,Yes,,tt9013340,553147,Comedy,,,,,,,,,,
Fools Rush In,1997,,,tt0119141,1968,RomCom,,,,,,,,,,
Footloose,1984,Yes,,tt0087277,1788,Music,,,,,,,,,,
For a Few Dollars More,1968,**Request,,tt0059578,938,Western,,,,,,,,,,
For a Good Time Call...,2012,,,tt1996264,84200,Comedy,,,,,,,,,,
For Love of the Game,1999,Yes,,tt0126916,10390,Sports|Romance,,,,,,,,,,
For Whom the Bell Tolls,1943,,,tt0035896,27854,War,,,,,,,,,,
Forbidden Planet,1956,*Request,,tt0049223,830,SciFi,,,,,,,,,,
Force Majeure,2014,Yes,,tt2121382,265189,Dramedy,Swedish,,,,,,,,,
Ford v Ferrari,2019,Yes,,tt1950186,359724,Sports,,,,,,,,,,
Foreign Correspndent,1940,**Request,,tt0032484,25670,Espionage,Propaganda,,,,,,,,,
Forgetting Sarah Marshall,2008,Yes,,tt0800039,9870,Comedy|RomCom,,,,,,,,,,
Forgotten Silver,1995,**Request,,tt0116344,32458,,Mockumentary,,,,,,,,,
Forrest Gump,1994,Yes,,tt0109830,13,Drama,,Drama,,,,,,,,
Forty Winks,2022,*****Request,,tt14628220,951436,Comedy|Crime|Thriller,,,,,,,,,,
Four Christmases,2008,Yes,,tt0369436,12193,Christmas|RomCom,,,,,,,,,,
Four Lions,2010,Yes,,tt1341167,37495,Dramedy,,,,,,,,,,
Four Rooms,1995,,,tt0113101,5,Comedy|Crime,,,,,,,,,,
Four Weddings and a Funeral,1994,Yes,,tt0109830,712,RomCom,,,,,,,,,,
Fracture,2007,Yes,,tt0488120,6145,Legal|Thriller,,Legal,,,,,,,,
Frances Ha,2012,Yes,,tt2347569,121986,RomCom,,,,,,,,,,
Frank,2014,***Request,,tt1605717,171372,Dramedy|Music,,,,,,,,,,
Frankenstein,1931,****Request,,tt0021884,3035,Monster,,,,,,,,,,
Freaky Friday,2003,**Request,,tt0322330,10330,Family|Supernatural,,,,,,,,,,
Fred Claus,2007,Yes,,tt0486583,5375,Christmas,,,,,,,,,,
Freddy vs. Jason,2003,,,tt0329101,6466,Horror,,,,,,,,,,
Freddy's Dead: The Final Nightmare,1991,,,tt0101917,11284,Horror,,,,,,,,,,
Free Fire,2016,Yes,,tt4158096,334521,Action|Crime|Mystery,Boston,,,,,,,,,
Free Guy,2021,Yes,,tt6264654,550988,Comedy,,,,,,,,,,
Free Willy,1993,****Request,,tt0106965,1634,Family,,,,,,,,,,
Freeway,1996,,,tt0116361,11229,Thriller,,,,,,,,,,
Frequency,2000,****Request,,tt0186151,10559,Supernatural,,,,,,,,,,
Frida,2002,Yes,,tt0120679,1360,Biopic,,Biopic,,,,,,,,
Friday,1995,Yes,,tt0113118,10634,Comedy,,,,,,,,,,
Friday the 13th,1980,**Request,,tt0080761,4488,Horror,,,,,,,,,,
Friday the 13th,2009,,,tt0758746,13207,Horror,,,,,,,,,,
Friday the 13th Part 2,1981,,,tt0082418,9725,Horror,,,,,,,,,,
Friday the 13th Part III,1982,,,tt0083972,9728,Horror,,,,,,,,,,
Friday the 13th Part VI: Jason Lives,1986,,,tt0091080,10225,Horror,,,,,,,,,,
Friday the 13th Part VII: The New Blood,1988,,,tt0095179,10281,Horror,,,,,,,,,,
Friday the 13th Part VIII: Jason Takes Manhattan,1989,,,tt0097388,10283,Horror,,,,,,,,,,
Friday the 13th: A New Beginning,1985,,,tt0089173,9731,Horror,,,,,,,,,,
Friday the 13th: The Final Chapter,1984,,,tt0087298,9730,Horror,,,,,,,,,,
Fried Green Tomatoes,1991,***Request,,tt0101921,1633,Dramedy,,,,,,,,,,
Friends with Benefits,2011,****Request,,tt1632708,50544,RomCom,,,,,,,,,,
Fright Night,1985,****Request,,tt0089175,11797,Supernatural|Horror,,,,,,,,,,
From Dusk Till Dawn,1996,*******Request,,tt0116367,755,Action|Monster,,,,,,,,,,
From Here to Eternity,1953,*Request,,tt0045793,11426,War,,,,,,,,,,
Frontera,2014,,,tt2510028,259611,Western,,,,,,,,,,
Frost/Nixon,2008,***Request,,tt0870111,11499,Politics|History,,,,,,,,,,
Frosty the Snowman,1969,Yes,,tt0064349,13675,Christmas,,,,,,,,,,
Frozen,2013,Yes,,tt2294629,109445,3D Animation,,3D Animation,,,,,,,,
Frozen 2,2019,Yes,,tt4520988,330457,3D Animation,,,,,,,,,,
Fruitvale Station,2013,*****Request,,tt2334649,157354,Biopic|Crime,,,,,,,,,,
Full Frontal,2002,**Request,,tt0290212,15186,RomCom,,,,,,,,,,
Full Metal Jacket,1987,Yes,,tt0093058,600,War,,War,,,,,,,,
Funny Girl,1968,,,tt0062994,16085,Biopic,,,,,,,,,,
Funny People,2009,,,tt1201167,20829,Dramedy,,,,,,,,,,
Furious Seven,2015,Yes,,tt2820852,168259,Action,,,,,,,,,,
Fury,2014,Yes,,tt2713180,228150,War,,,,,,,,,,
G.I. Jane,1997,Yes,,tt0119173,4421,Action|Drama|War,,,,,,,,,,
G.I. Joe: Retaliation,2013,,,tt1583421,72559,Action,,,,,,,,,,
G.I. Joe: The Rise of Cobra,2009,,,tt1046173,14869,Action,,,,,,,,,,
Galaxy Quest ,1999,Yes,,tt0177789,926,SciFi|Comedy,,,,,,,,,,
Game Change,2012,,,tt1848902,91010,Politics|Biopic,,,,,,,,,,
Game Night,2018,******Request,,tt2704998,445571,Mystery|Comedy,,,,,,,,,,
Gamera the Giant Monster,1965,Yes,,tt0059080,21930,Monster,Japanese,,,,,,,,,
Gang Bullets,1938,**Request,Youtube,tt0030168,79968,Action|Crime,,,,,,,,,,
Gangs Inc,1941,*Request,Youtube,tt0033998,80167,Crime,Noir,,,,,,,,,
Gangs of New York,1938,**Request,Youtube,tt0030169,25887,Crime,,,,,,,,,,
Gangs of New York,2002,Yes,,tt0217505,3131,Crime|History,,History,,,,,,,,
Gangs of Wasseypur - Part 1,2012,*Request,,tt1954470,117691,Action,Hindi,,,,,,,,,
Gangs of Wasseypur - Part 2,2012,,,tt1954470,126400,Action,Hindi,,,,,,,,,
Garden State,2004,,,tt0333766,401,Romance,Psychology,,,,,,,,,
Gattaca,1997,Yes,,tt0119177,782,SciFi,,,,,,,,,,
Gentlemen of Fortune,1971,,,tt0068519,20871,Comedy,,,,,,,,,,
George of the Jungle,1997,Yes,,tt0119190,10603,Family,,Family,,,,,,,,
Get a Clue,2002,**Request,,tt0282521,26189,Family|Mystery,,,,,,,,,,
Get Hard,2015,,,tt2561572,257091,Comedy,,,,,,,,,,
Get Out,2017,Yes,,tt5052448,419430,Horror|Thriller,,Horror,,,,,,,,
Get Shorty,1995,Yes,,tt0113161,8012,Comedy|Crime|Thriller,,,,,,,,,,
Get Smart,2008,Yes,,tt0425061,11665,Espionage|Comedy,,Espionage,,,,,,,,
Gettysburg,1993,**Request,,tt0107007,10655,War|History,,,,,,,,,,
Ghandi,1982,Yes,,tt0083987,783,Biopic|History,,Biopic,,,,,,,,
Ghost,1990,***Request,,tt0099653,251,Fantasy,,,,,,,,,,
Ghost in the Shell,1995,Yes,,tt0113568,9323,Anime|Crime|SciFi,,Anime,,,,,,,,
Ghost Rider,2007,***Request,,tt0259324,1250,Superhero|Thriller,,,,,,,,,,
Ghost Rider: Spirit of Vengence,2011,,,tt1071875,71676,Superhero|Thriller,,,,,,,,,,
Ghost Stories,2017,Yes,,tt5516328,429417,Horror,,,,,,,,,,
Ghostbusters,2016,*Request,,tt1289401,43074,Comedy|Supernatural,,,,,,,,,,
Ghostbusters,1984,Yes,,tt0087332,620,Supernatural|Comedy,,Supernatural|1980s,,,,,,,,
Ghostbusters II,1989,**Request,,tt0097428,2978,Comedy|Supernatural,,,,,,,,,,
Ghostbusters: Afterlife,2021,**Request,,tt4513678,425909,Supernatural|Comedy,,,,,,,,,,
Ghosted,2023,Yes,,tt15326988,868759,Action|Adventure|Espionage|RomCom,,,,,,,,,,
Ghosts of Mississippi,1996,*Request,,tt0116410,31908,Legal,Activism,,,,,,,,,
Ghostwriter,2021,*******Request,Missing,tt16162114,,Thriller,,,,,,,,,,
Gia,1998,Yes,,tt0123865,14533,Biopic|Drama|Romance,,,,,,,,,,
Gie,2005,Arr - X,,tt0459327,39061,Politics|Drama|Biopic,Indonesian,,,,,,,,,
Gifted,2017,,,tt4481414,400928,Drama,,,,,,,,,,
Girl Interrupted,1999,Yes,,tt0172493,3558,Drama,Psychology,,,,,,,,,
Gladiator,2000,Yes,,tt0172495,98,History|Action,,Action,,,,,,,,
Glass,2019,,,tt6823368,450465,Thriller,,,,,,,,,,
Glass Onion,2022,Yes,,tt11564570,661374,Mystery,,,,,,,,,,
Glengarry Glen Ross,1992,*****Request,,tt0104348,9504,Crime|Mystery,,,,,,,,,,
Glory,1989,Yes,,tt0097441,9665,History|War,,History,,,,,,,,
Glory Road,2006,***Request,,tt0385726,9918,Sports|History,Activism,,,,,,,,,
Go for Broke!,1951,***Request,PBS,tt0043590,37214,War|History,,,,,,,,,,
God's Country,2022,Yes,,tt11818818,879990,Western|Thriller,,,,,,,,,,
Gods of Egypt,2016,*Request,,tt2404233,205584,Fantasy,,,,,,,,,,
Godzilla,1954,Yes,,tt0047034,1678,Monster,,Monster,,,,,,,,
Godzilla vs. Kong,2021,Yes,,tt5034838,399566,Monster,,,,,,,,,,
Godzilla: King of Monsters!,1956,Yes,,tt0197521,18983,Monster,,,,,,,,,,
Godzilla: King of the Monsters,2019,,,tt3741700,373571,Monster,,,,,,,,,,
Going in Style,2017,**Request,,tt2568862,353070,Heist,,,,,,,,,,
Going the Distance,2010,,,tt1322312,38073,RomCom,,,,,,,,,,
Goldstone,2016,**Request,,tt4911996,393834,Crime|Thriller,,,,,,,,,,
Gone Baby Gone,2007,Yes,,tt0452623,4771,Crime|Mystery,Boston,,,,,,,,,
Gone Girl,2014,Yes,,tt2267998,210577,Mystery,,Mystery,,,,,,,,
Gone With the Wind,1939,Yes,,tt0031381,770,War,,1930s,,,,,,,,
Good Boys,2019,Yes,,tt6977338,521777,Comedy,,,,,,,,,,
Good Kids,2016,,,tt2170427,352186,Comedy,,,,,,,,,,
Good Morning Vietnam,1987,Yes,,tt0093105,801,War,,,,,,,,,,
Good Night and Good Luck,2005,***Request,,tt0433383,3291,Politics,,,,,,,,,,
Good Time,2017,***Request,,tt4846232,429200,Crime|Thriller,,,,,,,,,,
Good Time,2017,*Request,,tt4846232,429200,Crime|Thriller,,,,,,,,,,
Good Time,2017,Yes,,tt4846232,429200,Crime|Drama|Thriller,,,,,,,,,,
Good Will Hunting,1997,Yes,,tt0119217,489,Drama,Boston,Drama|1990s|Boston,,,,,,,,
Goodfellas,1990,Yes,,tt0099685,769,Crime,,,,,,,,,,
Goon,2011,******Request,,tt1456635,74387,Sports,,,,,,,,,,
Gotti,2018,***Request,,tt1801552,339103,Biopic|Crime|Drama,,,,,,,,,,
Gran Torino,2008,Yes,,tt1205489,13223,Action,,,,,,,,,,
Grand Death Lotto,,#NAME?,,tt26940324,1094138,Action|Comedy,,,,,,,,,,
Grand Hotel,1932,,,tt0022958,33680,Romance,,,,,,,,,,
Grand Illusion,1937,,,tt0028950,777,War,French,,,,,,,,,
Grand Prix,1966,**Request,,tt0060472,20379,Sports,,,,,,,,,,
Grave of the Fireflies,1988,Yes,,tt0095327,12477,Anime|War|Drama,,Anime,,,,,,,,
Gravity,2013,Yes,,tt1454468,49047,SciFi|Drama,,,,,,,,,,
Grease,1978,Yes,,tt0077631,621,Music,,Musical,,,,,,,,
Greased Lightning,1977,**Request,,tt0076106,29737,Sports|Biopic,,,,,,,,,,
Great Freedom,2021,****Request,,tt14775784,835975,Drama,German,,,,,,,,,
Green Book,2018,Yes,,tt6966692,490132,Biopic|Drama,,,,,,,,,,
Green Card,1990,***Request,,tt0099699,12157,Comedy|Drama|RomCom|Dramedy,,,,,,,,,,
Green Room,2015,***Request,,tt4062536,313922,Thriller|Horror,,,,,,,,,,
Green Street Hooligans,2005,Yes,,tt0385002,8923,Crime|Sports|Drama,,,,,,,,,,
Greener Grass,2019,*******Request,,tt7422822,547009,Comedy|Thriller,,,,,,,,,,
Gremlins,1984,Yes,,tt0087363,927,Christmas|Monster|Supernatural,,Christmas,,,,,,,,
Gridlock'd,1997,***Request,,tt0119225,12489,Comedy|Crime,,,,,,,,,,
Grosse Pointe Blank,1997,Yes,,tt0119229,9434,Action,,,,,,,,,,
Groundhog Day,1997,Yes,,tt0107048,137,Time Travel|RomCom|Supernatural,,1990s,,,,,,,,
Grown Ups,2010,Yes,,tt1375670,38365,Comedy,,,,,,,,,,
Guardians of the Galaxy,2014,Yes,,tt2015381,118340,Superhero,,Superhero,,,,,,,,
Guardians of the Galaxy Vol 3,2023,Yes,,tt6791350,447365,Superhero,,,,,,,,,,
Guardians of the Galaxy Vol. 2,2017,Yes,,tt3896198,283995,Superhero,,,,,,,,,,
Guava Island,2019,***Request,,tt8858104,543343,Dramedy|Music,,,,,,,,,,
Guess Who's Coming to Dinner,1967,*Request,,tt0061735,1879,Drama,,,,,,,,,,
Guest InThe House,1944,**Request,Youtube,tt0036886,42288,Drama,Noir,,,,,,,,,
Gufight at the O.K. Corral,1957,*Request,,tt0050468,22201,Western,,,,,,,,,,
Guillermo del Toro's Pinocchio,2022,*****Request,,tt1488589,555604,3D Animation|Fantasy,,,,,,,,,,
Guilty by Suspicion,1991,**Request,,tt0101984,22423,Legal,,,,,,,,,,
Gung Ho!,1943,,PBS,tt0035958,18562,War|History,,,,,,,,,,
Gunga Din,1939,,,tt0031398,24965,Adventure|War,,,,,,,,,,
Guns Akimbo,2020,Yes,,tt6902676,457335,Action|Comedy,,,,,,,,,,
Habibie & Ainun,2012,Arr,,tt2589132,172705,Drama|History|Roimance|Biopic,Indonesian,,,,,,,,,
Hacksaw Ridge,2016,*Request,,tt2119532,324786,War,,,,,,,,,,
Haider,2014,,,tt3390572,280795,Action,Hindi,,,,,,,,,
Hail Caesar,2016,**Request,,tt0475290,270487,Dramedy,,,,,,,,,,
Hairspray,2007,*Request,,tt0427327,2976,Music,,,,,,,,,,
Half Nelson,2006,Yes,,tt0468489,7859,Drama,,,,,,,,,,
Hall Pass,2011,,,tt0480687,48988,Comedy,,,,,,,,,,
Halloween,1978,**Request,,tt0077651,948,Horror,,,,,,,,,,
Halloween,2007,,,tt1311067,2082,Horror,,,,,,,,,,
Halloween,2018,,,tt1502407,424139,Horror,,,,,,,,,,
Halloween 4: The Return of Michael Myers,1988,,,tt0095271,11357,Horror,,,,,,,,,,
Halloween 5: The Revenge of Michael Myers,1989,,,tt0097474,11361,Horror,,,,,,,,,,
Halloween H20: 20 Years Later,1998,,,tt0120694,11675,Horror,,,,,,,,,,
Halloween II,1981,,,tt0082495,11281,Horror,,,,,,,,,,
Halloween II,2009,,,tt0373883,24150,Horror,,,,,,,,,,
Halloween III: Season of the Witch,1982,,,tt0085636,10676,Horror,,,,,,,,,,
Halloween: Resurrection,2002,,,tt0220506,11442,Horror,,,,,,,,,,
Halloween: The Curse of Michael Myers,1995,,,tt0113253,10987,Horror,,,,,,,,,,
Hamilton,2020,Yes,,tt8503618,556574,Music|History,,Musical,,,,,,,,
Hamlet,1996,**Request,,tt0116477,10549,Drama,Shakespeare,,,,,,,,,
Hamlet,1948,,,tt0040416,23383,Drama,Shakespeare,,,,,,,,,
Hamlet,1990,,,tt0099726,10264,Drama,Shakespeare,,,,,,,,,
Hamlet,2000,,,tt0171359,10688,Drama,Shakespeare,,,,,,,,,
Hamlet,2011,,,tt1964758,140631,Drama,Shakespeare,,,,,,,,,
Hancock,2008,***Request,,tt0448157,8960,Superhero,,,,,,,,,,
Hang 'Em High,1968,,,tt0061747,4929,Western,,,,,,,,,,
Hanna,2011,*Request,,tt0993842,50456,Action|Adventure,,,,,,,,,,
Hannah and Her Sisters,1986,*Request,,tt0091167,5143,Drama,,,,,,,,,,
Happening,2021,***Request,,tt13880104,793998,Drama|Period,French,,,,,,,,,
Happiness,1998,***Request,,tt0147612,10683,Comedy,,,,,,,,,,
Happy Death Day,2017,***Request,,tt5308322,440021,Horror|Comedy,,,,,,,,,,
Happy Feet,2006,Yes,,tt0366548,9836,3D Animation,,,,,,,,,,
Happy Gilmore,1996,Yes,,tt0116483,9614,Sports|Comedy,,Sports,,,,,,,,
Happy Go Lovely,1951,Yes,,tt0043618,127602,Music,,,,,,,,,,
Harakiri,1962,Yes,,tt0056058,14537,Action,Japanese,,,,,,,,,
Hard Eight,1996,Yes,,tt0119256,8052,Crime|Drama,,,,,,,,,,
Hard Target,1993,****Request,,tt0107076,2019,Action|Crime,,,,,,,,,,
Hard to Be a God,2013,***Request,,tt2328813,110402,SciFi,Russian,,,,,,,,,
Hardcore Henry,2015,****Request,,tt3072482,325348,Action,,,,,,,,,,
Harriet,2019,**Request,,tt4648786,506528,Biopic|History,Activism,,,,,,,,,
Harry Potter and the Chamber of Secrets,2002,Yes,,tt0295297,672,Fantasy,,,,,,,,,,
Harry Potter and the Deathly Hallows: Part 1,2010,Yes,,tt0926084,12444,Fantasy,,,,,,,,,,
Harry Potter and the Deathly Hallows: Part 2,2011,Yes,,tt1201607,12445,Fantasy,,,,,,,,,,
Harry Potter and the Goblet of Fire,2005,Yes,,tt0330373,674,Fantasy,,,,,,,,,,
Harry Potter and the Half-Blood Prince,2009,Yes,,tt0417741,767,Fantasy,,,,,,,,,,
Harry Potter and the Order of the Phoenix,2007,Yes,,tt0373889,675,Fantasy,,,,,,,,,,
Harry Potter and the Prisnoers of Azkaban,2004,Yes,,tt0304141,673,Fantasy,,,,,,,,,,
Harry Potter and the Sorcerer's Stone,2001,Yes,,tt0241527,671,Fantasy,,Fantasy|2000s,,,,,,,,
Harvey,1950,*Request,,tt0042546,11787,Fantasy,,,,,,,,,,
Hawmps!,1976,****Request,,tt0074614,23380,Comedy|Western,,,,,,,,,,
Häxan,1922,Yes,,tt0013257,57283,Religion,Mockumentary,,,,,,,,,
Haywire,2011,***Request,,tt1506999,70435,Action|Espionage,,,,,,,,,,
He Got Game,1998,**Request,,tt0124718,9469,Sports,,,,,,,,,,
He Walked by Night,1948,***Request,Youtube,tt0040427,31556,Crime|Thriller,Noir|Mockumentary,,,,,,,,,
He's Just Not That Into You,2009,,,tt1001508,10184,RomCom,,,,,,,,,,
Head Over Heels,2001,Yes,,tt0192111,24940,RomCom,,,,,,,,,,
Heart of Champions,2021,***Request,,tt10314548,647581,Sports,,,,,,,,,,
Heat,1995,Yes,,tt0113277,949,Heist,,Heist,,,,,,,,
Heat Vision and Jack,1999,Yes,,tt0363668,184500,Fantasy|Comedy,,,,,,,,,,
Heathers,1989,*Request,,tt0097493,2640,Crime,,,,,,,,,,
Heaven,2002,**Request,,tt0246677,10575,Crime|Drama|Romance,,,,,,,,,,
Heavenly Creatures,1994,***Request,,tt0110005,1024,Drama|Crime,,,,,,,,,,
Helen of Troy,1956,****Request,,tt0049301,42658,History|Adventure,,,,,,,,,,
Hell or High Water,2016,Yes,,tt2582782,338766,Western|Heist|Crime,,Western,,,,,,,,
Hell's House,1932,*Request,Youtube,tt0022991,136116,Drama,,,,,,,,,,
Hellbound: Hellraiser II,1988,,,tt0095294,9064,Horror,,,,,,,,,,
Hellboy,2004,Yes,,tt0167190,1487,Fantasy,,Fantasy,,,,,,,,
Hellboy,2019,,,tt2274648,456740,Fantasy,,,,,,,,,,
Hellboy II: The Golden Army,2008,,,tt0411477,11253,Fantasy,,,,,,,,,,
Hellraiser,1987,,,tt0093177,9003,Horror,,,,,,,,,,
Hellraiser III: Hell on Earth,1992,,,tt0104409,11569,Horror,,,,,,,,,,
Henry V,1989,****Request,,tt0097499,10705,Drama|History,Shakespeare,,,,,,,,,
Her,2013,Yes,,tt1798709,152601,Romance|SciFi,,Romance,,,,,,,,
Herbie Goes Bananas,1980,*Request,,tt0080861,12129,Sports,,,,,,,,,,
Herbie Goes to Monte Carlo,1977,*Request,,tt0076137,14140,Sports,,,,,,,,,,
Herbie Rides Again,1974,**Request,,tt0071607,10869,Sports,,,,,,,,,,
Herbie: Fully Loaded,2005,Yes,,tt0400497,11451,Family|Supernatural,,,,,,,,,,
Hercules,2014,****Request,,tt1267297,184315,Action|Adventure|Fantasy,,,,,,,,,,
Hercules,1997,Yes,,tt0119282,11970,2D Animation,,,,,,,,,,
Here Comes the Boom,2012,Yes,,tt1648179,87826,Sports|Comedy|Action,,,,,,,,,,
Hereditary,2018,Yes,,tt7784604,493922,Horror,,Horror,,,,,,,,
Hidalgo,2004,Yes,,tt0317648,2023,Action|Adventure|Biopic,,,,,,,,,,
Hidden Figures,2016,Yes,,tt4846340,381284,History|Drama,,History,,,,,,,,
High and Low,1963,Yes,,tt0057565,12493,Crime|Mystery|Drama,Japanese,,,,,,,,,
High and Low,1963,***Request,,tt0057565,12493,Mystery,,,,,,,,,,
High Fidelity,2000,Yes,,tt0146882,243,RomCom,,,,,,,,,,
High Noon,1952,*Request,,tt0044706,288,Western,,,,,,,,,,
High Plains Drifter,1973,*Request,,tt0068699,11901,Western,,,,,,,,,,
High School Musical,2006,*Request,,tt0475293,10947,Family|Music,,,,,,,,,,
High Sierra ,1941,**Request,,tt0033717,27725,Heist,,,,,,,,,,
High-Rise,2015,**Request,,tt0462335,254302,Drama,,,,,,,,,,
Highlander,1986,**Request,,tt0091203,8009,Fantasy,,,,,,,,,,
Highlander II: The Quickening,1991,,,tt0102034,8010,Fantasy,,,,,,,,,,
Highlander: Endgame,2000,,,tt0144964,12211,Fantasy,,,,,,,,,,
Highlander: The Final Dimension,1994,,,tt0110027,8011,Fantasy,,,,,,,,,,
Highlander: The Source,2007,,,tt0299981,13360,Fantasy,,,,,,,,,,
Hillbilly Elegy,2020,,,tt6772802,592984,Drama,,,,,,,,,,
His Girl Friday,1940,Yes,,tt0032599,3085,,,,,,,,,,,
His Girl Friday,1940,,,tt0032599,3085,RomCom,,,,,,,,,,
